,text,task_1
0,"Bangladesh की Fabulous Return, India को 314 Run But stopped #INDvBAN #CWC19",NOT
1,सब whore Dance to see In Busy As only कोई #Messenger of peace Of Together Some Will happen All #रंडीरोना Start कर will give,HOF
2,You जैसे हरामियों Of For बस shoes Did less Is Vesper Tax अभी Your lynching Hui No Is Hindus Of waking up Did देर Is Truth In होगी Now So You As Bastard सुवर drama create Are pig somewhere Of Maulana. You As bastards dogs Did Death मारना Needed सुवर जैसी appearance रंडी Did offspring pig somewhere Of ।।।।,HOF
3,"BJP MLA Sky Vijayvargiya Jail From released, जमानत to meet Did Happiness में One Supporter has Indore In हर्ष फायरिंग Did #AkashVijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",NOT
4,"tinsel Fever: Assembly premises In RJD का Display, bright Yadav absent #springencephalitisdeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )",NOT
5,Mumbai में Rain From लोगों To Enough Problem हो doing Is,NOT
6,Ahmed's dad:-- beta aaj teri mammy kyu want baat kr rhi h. Ahmed....,NOT
7,"5 लाख Muslim Ursa में, Ajmer Did दरगाह But coming Are, Only 300 Police people Of trust, 2 Lakh हिंदुओं Did अमरनाथ Travel Of For, 80 Thousand Commando, पैरामिलिट्री force, And Millions Of Device planted Go रहे Are #threats In #Who Is ?",NOT
8,"Do superpowers mili hain, Charo level khusi to neck hai, khus hone alone pay attention hi are hain gold bhakton is offer ho rhi two, khair to this be chahiye.",NOT
9,Chants of 'Jai Sri Ram' as O outer wire takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute @asadowaisi,NOT
10,dance Will happen..! संगीत Will happen..! जीवन मे Celebration Will happen..! 'he' eager है souls In get off To.. you heart Duvar तो Open..! Place So below Do..! #hindi_word,NOT
11,"cows Of नाम But crime to do वालों Your Status Is Wool Country Of Ten बड़े cows Of मांस export करने the ones Hindus से Maths pick up Did,,,",NOT
12,"Dr. Mukherjee ने एक Country In Two विधान Two Chieftain और Two Mark Of Oppose Do happened कश्मीर To भारत Of integral Organ assuming permit राज To End to do Did War fought, उनके sacrifice From only permit Rule End Happened- श्री @ManojTiwariMP",NOT
13,"Religious posts But sitting Some लोग Our To God Understanding लेते are some People not Head हो Them भगवान Of Quality दिलाने Of For My  Time Ruined Do हैं,,,",NOT
14,coin मोहब्बत Of boom kept Is ~ हाँ But खुद To handle kept Is || Lonely You ही No Who परेशान Are ~ He many को confusion In डाल kept Is || ~ Shahrukh सिद्दीकी @rakhta #shahrukhsiddiqui @srspoet,NOT
15,angle Says Is आँखो में Dear No Would. जो sink Went Then उसमे From Par No Would. These Love Of बाज़ार का दस्तूर Is era In. Who heist Went वह Sometimes buyer No Would. Naeem #bzm #hindi_word @speculate @10398108Ritesh @Shaheen31304594 @queen_hoon11 @mahir_nagpuri @Khushi_eik_Pal,NOT
16,By the way Oath Of Ending In ' Victory India Jay constitution' बोलना Too All Of लिए अनिवार्य Did Go सकता Are.,NOT
17,"One long interval Of Afterwards Your बीच #MannKiBaat, जन-जन Did बात, public mind Did Talk Its We continuation Ongoing Tax are Are. Election की emergency In preoccupation So ज्यादा Was But मन Did Talk Of fun ही Missing Was, One कमी Feel Tax रहा Was. We 130 Ten million countrymen Of relatives Of रूप In things Do थे: PM Yes ।",NOT
18,"#synonym of 'low' Word #मोदी' gave So will work की, Lay perfect sat down",HOF
19,Doctor Did wrote 7 Day Did Medicine Of बजाय 3 दिन Did Medicine ही Take.. One Common Indian गुण Is..,NOT
20,इस motherfucker To Dhundke ass मे Gun Shot die @uppolice,HOF
21,"Indian Rail Of सोमवार From change will go time table, Eastern central रेलवे ने These trains Of Time In Did बदलाव",NOT
22,"You cry in front of ur god Of being deceived by the world Some fine day u die Reach hell God tells you You fucker or भोसडीके, no one deceived you more than urself.",HOF
23,Bus One सवाल Of answer Needed That That chit fund scams In Test के आदेश 2014 In आए in that enquiry/action 2019 In Why Start Are doing है? This  Question में सब hidden Is. Who सही Who Wrong Identification Take it @lambalka @AbbasAliRushdi @sanjayjadshalan Follow Do @mirza__786,NOT
24,consequences आने From पहले responsibility to meet Start Are गयी Is केजरीवाल ने Own Garland Did responsibility Muslims To Give Gave @Arvind Kejriwal @roflfact @ZakirAliTyagi @Advice,NOT
25,Click do And पढ़ें This smart fone Of about में..,NOT
26,हद तो Then Are caste Are When Reservation का Benefit pick up the ones People ही Reservation Of Against barking seem goes हैं,HOF
27,#AIMIM National Spokesperson @syedasimwaqar live on @News18India #arparr @AMISHDEVGAN @Advice,NOT
28,Hari Om Namo Narayana Hymn सुनकर jhoom picking Devotees का flood. #hariom #narayana #RadheRadhe #Long live Shri Krishna #JaiShriRam #kalyug #ghanshyam #kanhaiya #Acharyapramodkrishna @acharyapramodak,NOT
29,प्लीज Call My Forced Fuck करो No,HOF
30,"ठोकरें खाता हूँ But 'magnificence' From walks am, I open आसमान के Below सीना tension Of walks am! मुश्किलें So 'Saaz' Are Life का I'll get up will fall Then उठूंगा And after all In… will win I only These determination Of walks Am!!.Respected Akhilesh Yadav Hail",NOT
