,text,task_1
0,"बांग्लादेश की शानदार वापसी, भारत को 314 Run पर stopped #INDvBAN #CWC19",NOT
1,All whore नाच देखने In Busy जैसे only कोई #शांतीदूत के साथ कुछ Will happen सब #रंडीरोना Start कर देंगे,HOF
2,तुम जैसे हरामियों Of For बस जूतों की कमी है शुक्र कर अभी तुम्हारी लिंचिंग हुई No Is हिंदुओं के waking up Did देर Is सच In होगी अभी So You As Bastard सुवर drama create हो सुवर कहीं का Maulana. तुम As हरामियों कुत्ते Did मौत मारना Needed pig जैसी शक्ल whore Did offspring सुवर कहीं का ।।।।,HOF
3,"बीजेपी MLA आकाश विजयवर्गीय Jail से released, Bail मिलने Did Happiness में एक समर्थक has इंदौर में हर्ष firing की #AkashVijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",NOT
4,"चमकी बुखार: Assembly premises में आरजेडी का प्रदर्शन, तेजस्वी Yadav absent #biharencephalitisdeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )",NOT
5,Mumbai में बारिश From लोगों को काफी Problem हो doing है,NOT
6,Ahmed's dad:-- beta aaj teri mammy kyu want baat kr rhi h. Ahmed....,NOT
7,"5 Lakh मुसलमान उर्स में, अजमेर की दरगाह But coming Are, Only 300 पुलिस people के भरोसे, 2 लाख हिंदुओं की Amarnath Travel Of लिए, 80 Thousand कमांडो, पैरामिलिट्री फोर्स, तथा करोड़ों Of Device लगाए जा are Are #खतरे में #Who है ?",NOT
8,"Do mahashaktiyan mili hain, charo taraf happy ki leher two, khus hone wale khus hi rhe hain aur Devotees ko taklif to rhi hai, khair to this be Needed.",NOT
9,Chants of 'Jai Sri Ram' as O outer wire takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute @asadowaisi,NOT
10,dance होगा..! music होगा..! जीवन In Celebration Will happen..! 'वह'आतुर है प्राणों में get off To.. 'तुम'हृदय दुवार So खोलो..! जगह तो खाली Do..! #हिंदी_शब्द,NOT
11,"cows Of Name But जुल्म करने people तुम्हारी औकात है Wool देश के Ten बड़े गाये का मांस export करने वाले हिंदुओं से Maths लेने Did,,,",NOT
12,"Dr. मुखर्जी ने One देश में दो विधान दो Chieftain And Two निशान का विरोध Do हुए कश्मीर To भारत Of अभिन्न अंग assuming परमिट Rule को End to do की लड़ाई लड़ी, Their बलिदान से ही permit राज खत्म Happened- Mister @ManojTiwariMP",NOT
13,"धार्मिक पदों But बैठे Some लोग अपने को God Understanding लेते are some लोग नत Head हो उन्हें भगवान Of दर्जा दिलाने Of For अपना समय बर्बाद Do Are,,,",NOT
14,coin मोहब्बत का उछाल रक्खा है ~ Yes But खुद To handle रक्खा Is || अकेले तुम ही नही जो Worried हो ~ He बहुतों को confusion में डाल kept Is || ~ शाहरुख सिद्दीकी @rakhta #shahrukhsiddiqui @srspoet,NOT
15,कोन कहता Is आँखो में प्यार No होता। जो डूब गया Then in that से Par No होता। ये इश्क़ के market का दस्तूर है era In. Who heist गया वह Sometimes खरीदार No होता। Naeem #बज़्म #हिंदी_शब्द @Aayatkhan_ @10398108Ritesh @Shaheen31304594 @queen_hoon11 @mahir_nagpuri @Khushi_eik_Pal,NOT
16,"By the way शपथ के Ending In ' Victory भारत,जय संविधान' बोलना Too All के For अनिवार्य किया जा सकता हैं।",NOT
17,"एक long interval Of बाद आपके Middle #MannKiBaat, जन-जन Did Talk, जन-मन की बात Its हम सिलसिला Ongoing कर रहे हैं। चुनाव Did आपाधापी में व्यस्तता तो ज्यादा थी But Mind Did बात Of मजा only गायब था, एक कमी Feel कर Stayed Was. We 130 करोड़ देशवासियों के स्वजन के रूप में things Do थे: पीएम जी ।",NOT
18,"#नीच'समानार्थी शब्द #Modi' given So चालेल की, लै परफेक्ट sat down",HOF
19,Doctor की लिखी 7 दिन Did Medicine के बजाय 3 Day की दवा ही लेना.. One आम भारतीय Property है..,NOT
20,इस मादरचोद To Dhundke गांड In गोली मरो @Uppolice,HOF
21,"भारतीय रेल Of सोमवार से बदल will go टाइम-टेबल, Eastern सेंट्रल railway ने इन ट्रेनों के Time In Did बदलाव",NOT
22,"You cry in front of ur god Of being deceived by the world Some fine day u die Reach hell God tells you You fucker or भोसडीके, no one deceived you more than urself.",HOF
23,Bus एक Question Of जवाब चाहिए कि जिस chit fund घोटाले में Test Of आदेश 2014 In Returns उसमें पूछताछ/कार्रवाई 2019 में क्यों शुरू Are doing है? इसी सवाल In All छुपा है। कौन Correct कौन गलत पहचान Take it @LambaAlka @AbbasAliRushdi @SanjayAzadSln Follow करो @mirza__786,NOT
24,consequences to come से Earlier ज़िम्मेदारी मिलनी Start हो गयी है केजरीवाल ने Own हार Did ज़िम्मेदारी मुसलमानो To दे दिया @ArvindKejriwal @roflfact @ZakirAliTyagi @Advice,NOT
25,क्लिक करें और Read This स्मार्टफोन के बारे In..,NOT
26,हद So तब Are जाती हैं जब आरक्षण Of Benefit pick up the ones लोग ही आरक्षण Of खिलाफ भोंकने seem जाते हैं,HOF
27,#AIMIM National Spokesperson @syedasimwaqar live on @News18India #AarPaar @AMISHDEVGAN @Advice,NOT
28,Hari Om नमो नारायणा Hymn सुनकर झूम उठा Devotees का flood. #hariom #narayana #RadheRadhe #jaishrikrishna #JaiShriRam #Kalyug #ghanshyam #kanhaiya #Acharyapramodkrishna @AcharyaPramodk,NOT
29,प्लीज कॉल मेरी Forced चुदाई करो No,HOF
30,"ठोकरें Account हूँ पर 'magnificence' From चलता हूँ, I खुले आसमान Of Below chest तान के walks हूँ! difficulties So ‘साज़’ हैं Life का उठूंगा will fall Then उठूंगा और आखिर में… जीतूंगा मैं only ये determination के चलता हूँ!!.आदरणीय अखिलेश Yadav जिंदाबाद",NOT
31,#CWC2019 में India को First हार का face Doing It was lying रोहित शर्मा का शतक And मोहम्मद शमी के 5 विकेट भी Work No Returns And England 31 Run से जीत गया,NOT
32,"चाहे दिल्ली Are, उत्तर State, मध्य State या Then राजस्थान। Country के हर कोने से नन्हें मासूमों Of साथ हर रोज rape हैवानियत की the news Come doing है But हमारे Country Of कानून This much नाकारा Are That criminals के हौसले बुलंद Are. सरकारें भी अपनी Politics के चक्कर In कोई कड़े फैसले No Take रही हैं",NOT
33,अमित Shah From Afterwards में फिर तू पूछेगी This क्या Tax दिया रंडी,HOF
34,sir ap with and rquest h and bar fir ap Mulayam ji ko ugh kr de dekhey parti bhut ugh jaygi,NOT
35,"फूल Did काँटों From दोस्ती बेमिसाल है काँटे How much दर्द फूलों To giving Are फिर भी फूल मुस्कुराते हुए खिलते हैं काँटों को Too तो See , flowers Did रक्षा करते हैं Self Pain सहकर फूलों To safe रखते Are । #आपकी_काँची #hindi_word #WordTreasury",NOT
