,text,task_1
0,"Bangladesh की शानदार वापसी, भारत को 314 रन But रोका #INDvBAN #CWC19",NOT
1,सब whore नाच देखने मे व्यस्त जैसे ही कोई #शांतीदूत Of साथ कुछ होगा All #रंडीरोना शुरू कर देंगे,HOF
2,तुम जैसे bastards के For Bus जूतों की कमी Is शुक्र कर अभी तुम्हारी लिंचिंग हुई नहीं है हिंदुओं के जागने की देर Is सच में होगी अभी तो तुम जैसे हरामी सुवर ड्रामा बनाएं हो सुवर कहीं का Maulana. तुम जैसे bastards कुत्ते Did मौत मारना चाहिए pig जैसी appearance रंडी की offspring सुवर कहीं का ।।।।,HOF
3,"बीजेपी MLA आकाश Vijayvargiya जेल From रिहा, जमानत मिलने Did खुशी में एक समर्थक ने इंदौर में हर्ष फायरिंग की #AkashVijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",NOT
4,"चमकी बुखार: Assembly परिसर में आरजेडी का प्रदर्शन, तेजस्वी यादव नदारद #biharencephalitisdeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )",NOT
5,मुंबई In Rain से लोगों को काफी समस्या हो रही है,NOT
6,Ahmed's dad:-- beta aaj teri mammy kyu want baat kr rhi h. Ahmed....,NOT
7,"5 लाख मुसलमान उर्स में, अजमेर की दरगाह पर आते हैं, Only 300 पुलिस people के भरोसे, 2 लाख हिंदुओं Did अमरनाथ Travel के For, 80 हजार कमांडो, पैरामिलिट्री force, तथा करोड़ों Of उपकरण लगाए जा रहे हैं #खतरे में #कौन है ?",NOT
8,"Do mahashaktiyan mili hain, charo taraf khusi ki leher hai, khus hone wale khus hi rhe hain gold bhakton ko taklif ho rhi hai, khair honi be Needed.",NOT
9,Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute @Advice,NOT
10,नृत्य होगा..! संगीत होगा..! जीवन मे उत्सव Will happen..! 'वह'आतुर है प्राणों में get off को.. 'तुम'हृदय दुवार तो खोलो..! जगह So खाली करो..! #hindi_word,NOT
11,"गाये के नाम पर जुल्म करने वालों तुम्हारी Status है Wool देश के दस elder गाये का मांस निर्यात करने the ones हिंदुओं से हिसाब pick up की,,,",NOT
12,"डॉ. मुखर्जी ने एक Country में दो विधान Two प्रधान और दो निशान का विरोध करते हुए Kashmir को भारत का अभिन्न अंग मानकर परमिट राज को End करने की War लड़ी, उनके बलिदान From ही परमिट राज खत्म Happened- श्री @ManojTiwariMP",NOT
13,"धार्मिक पदों पर बैठे Some लोग अपने को भगवान समझ लेते are some लोग नत मस्तक हो उन्हें भगवान का Quality दिलाने के लिए My  समय बर्बाद करते Are,,,",NOT
14,सिक्का मोहब्बत का उछाल रक्खा है ~ हाँ मगर खुद को सम्भाल kept है || अकेले तुम ही No Who Worried हो ~ उसने बहुतों को confusion में डाल रक्खा है || ~ शाहरुख सिद्दीकी @Rekhta #shahrukhsiddiqui @srspoet,NOT
15,angle कहता है आँखो में प्यार नही होता। Who sink गया फिर उसमे From पार नही होता। These इश्क़ के बाज़ार का दस्तूर है ज़माने में। जो लूट गया वह कभी खरीदार नही होता। नईम #bzm #हिंदी_शब्द @speculate @10398108Ritesh @Shaheen31304594 @queen_hoon11 @mahir_nagpuri @khushi_a_pal,NOT
16,वैसे शपथ के अंत में ' जय India Jay संविधान' Speak भी सभी के लिए अनिवार्य किया जा सकता Are.,NOT
17,"One लंबे अंतराल के बाद आपके बीच #MannKiBaat, जन-जन की बात, public mind Did बात इसका हम सिलसिला जारी कर रहे Are. चुनाव Did आपाधापी In व्यस्तता तो ज्यादा थी लेकिन मन की बात का मजा ही गायब था, एक कमी Feel कर रहा था। हम 130 Ten million countrymen के स्वजन के रूप In बातें करते Were: पीएम जी ।",NOT
18,"#नीच'समानार्थी शब्द #Modi' दिला तर चालेल की, Lay परफेक्ट बसलं",HOF
19,डॉक्टर Did लिखी 7 दिन की Medicine के बजाय 3 दिन की दवा ही लेना.. एक आम भारतीय Property Is..,NOT
20,इस मादरचोद को धुण्डके गांड In गोली मरो @Uppolice,HOF
21,"भारतीय रेल का सोमवार से बदल will go टाइम-टेबल, ईस्टर्न central रेलवे ने इन ट्रेनों के समय में Did बदलाव",NOT
22,"You cry in front of ur god Of being deceived by the world Some fine day u die Reach hell God tells you You fucker or भोसडीके, no one deceived you more than urself.",HOF
